Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,5,10,17]  		84661.572		NaN				79263.617
[0,1,5,10,18]  		87023.892		NaN				79263.617
[0,1,5,10,19]  		94324.283		NaN				79263.617
[0,1,5,11,12]  		83907.068		NaN				79263.617
[0,1,5,11,13]  		85537.579		NaN				79263.617
[0,1,5,11,14]  		85010.763		NaN				79263.617
[0,1,5,11,15]  		86020.260		NaN				79263.617
[0,1,5,11,16]  		84259.543		NaN				79263.617
[0,1,5,11,17]  		84945.235		NaN				79263.617
[0,1,5,11,18]  		84603.764		NaN				79263.617
[0,1,5,11,19]  		83565.811		NaN				79263.617
[0,1,5,12,13]  		85274.772		NaN				79263.617
[0,1,5,12,14]  		88367.980		NaN				79263.617
[0,1,5,12,15]  		89546.865		NaN				79263.617
[0,1,5,12,16]  		87372.513		NaN				79263.617
[0,1,5,12,17]  		83892.231		NaN				79263.617
[0,1,5,12,18]  		88175.255		NaN				79263.617
[0,1,5,12,19]  		88090.635		NaN				79263.617
[0,1,5,13,14]  		87868.096		NaN				79263.617
[0,1,5,13,15]  		87475.782		NaN				79263.617
[0,1,5,13,16]  		85019.238		NaN				79263.617
[0,1,5,13,17]  		86116.262		NaN				79263.617
[0,1,5,13,18]  		84743.206		NaN				79263.617
[0,1,5,13,19]  		85129.668		NaN				79263.617
[0,1,5,14,15]  		95509.162		NaN				79263.617
[0,1,5,14,16]  		88172.623		NaN				79263.617
[0,1,5,14,17]  		86470.873		NaN				79263.617
[0,1,5,14,18]  		87329.326		NaN				79263.617
[0,1,5,14,19]  		93222.787		NaN				79263.617
[0,1,5,15,16]  		89210.673		NaN				79263.617
[0,1,5,15,17]  		86358.000		NaN				79263.617
[0,1,5,15,18]  		88030.113		NaN				79263.617
[0,1,5,15,19]  		94317.486		NaN				79263.617
[0,1,5,16,17]  		83594.176		NaN				79263.617
[0,1,5,16,18]  		86616.496		NaN				79263.617
[0,1,5,16,19]  		89094.730		NaN				79263.617
[0,1,5,17,18]  		83035.337		NaN				79263.617
[0,1,5,17,19]  		84244.904		NaN				79263.617
[0,1,5,18,19]  		86701.648		NaN				79263.617
[0,1,6,7,8]    		88370.419		NaN				79263.617
[0,1,6,7,9]    		86027.005		NaN				79263.617
[0,1,6,7,10]   		87353.536		NaN				79263.617
[0,1,6,7,11]   		91172.228		NaN				79263.617
[0,1,6,7,12]   		89868.823		NaN				79263.617
[0,1,6,7,13]   		94780.165		NaN				79263.617
[0,1,6,7,14]   		95996.242		NaN				79263.617
[0,1,6,7,15]   		94704.530		NaN				79263.617
[0,1,6,7,16]   		88332.419		NaN				79263.617
[0,1,6,7,17]   		95074.315		NaN				79263.617
[0,1,6,7,18]   		89006.349		NaN				79263.617
[0,1,6,7,19]   		84983.301		NaN				79263.617
[0,1,6,8,9]    		103847.763		NaN				79263.617
[0,1,6,8,10]   		99799.110		NaN				79263.617
[0,1,6,8,11]   		87206.032		NaN				79263.617
[0,1,6,8,12]   		94069.331		NaN				79263.617
[0,1,6,8,13]   		90998.518		NaN				79263.617
[0,1,6,8,14]   		106388.212		NaN				79263.617
[0,1,6,8,15]   		103692.849		NaN				79263.617
[0,1,6,8,16]   		93396.067		NaN				79263.617
[0,1,6,8,17]   		87696.860		NaN				79263.617
[0,1,6,8,18]   		92368.186		NaN				79263.617
[0,1,6,8,19]   		97368.512		NaN				79263.617
[0,1,6,9,10]   		98598.683		NaN				79263.617
[0,1,6,9,11]   		85719.676		NaN				79263.617
[0,1,6,9,12]   		91771.457		NaN				79263.617
