Hubs			Lower bound		Current_obj_fun		Best_obj_fun
[0,1,4,5,18]		91621.190		NaN				89800.240
[0,1,4,5,19]		101600.471		NaN				89800.240
[0,1,4,6,7]		102944.577		NaN				89800.240
[0,1,4,6,8]		115611.576		NaN				89800.240
[0,1,4,6,9]		110038.427		NaN				89800.240
[0,1,4,6,10]		107645.262		NaN				89800.240
[0,1,4,6,11]		98346.867		NaN				89800.240
[0,1,4,6,12]		106389.947		NaN				89800.240
[0,1,4,6,13]		107567.141		NaN				89800.240
[0,1,4,6,14]		127258.677		NaN				89800.240
[0,1,4,6,15]		122790.964		NaN				89800.240
[0,1,4,6,16]		104044.830		NaN				89800.240
[0,1,4,6,17]		102944.577		NaN				89800.240
[0,1,4,6,18]		103926.155		NaN				89800.240
[0,1,4,6,19]		103640.609		NaN				89800.240
[0,1,4,7,8]		94717.987		NaN				89800.240
[0,1,4,7,9]		91587.374		NaN				89800.240
[0,1,4,7,10]		92354.772		NaN				89800.240
[0,1,4,7,11]		96400.861		NaN				89800.240
[0,1,4,7,12]		95137.478		NaN				89800.240
[0,1,4,7,13]		102353.598		NaN				89800.240
[0,1,4,7,14]		102386.932		NaN				89800.240
[0,1,4,7,15]		101876.497		NaN				89800.240
[0,1,4,7,16]		93753.663		NaN				89800.240
[0,1,4,7,17]		103677.738		NaN				89800.240
[0,1,4,7,18]		93730.292		NaN				89800.240
[0,1,4,8,9]		110412.811		NaN				89800.240
[0,1,4,8,10]		106809.180		NaN				89800.240
[0,1,4,8,11]		92182.881		NaN				89800.240
[0,1,4,8,12]		98865.631		NaN				89800.240
[0,1,4,8,13]		98937.993		NaN				89800.240
[0,1,4,8,14]		115171.084		NaN				89800.240
[0,1,4,8,15]		111772.248		NaN				89800.240
[0,1,4,8,16]		98920.220		NaN				89800.240
[0,1,4,8,17]		94717.987		NaN				89800.240
[0,1,4,8,18]		97022.960		NaN				89800.240
[0,1,4,8,19]		103438.468		NaN				89800.240
[0,1,4,9,10]		105159.640		NaN				89800.240
[0,1,4,9,12]		95251.348		NaN				89800.240
[0,1,4,9,13]		95504.851		NaN				89800.240
[0,1,4,9,14]		109700.886		NaN				89800.240
[0,1,4,9,15]		107118.663		NaN				89800.240
[0,1,4,9,16]		96163.992		NaN				89800.240
[0,1,4,9,17]		91587.374		NaN				89800.240
[0,1,4,9,18]		93378.723		NaN				89800.240
[0,1,4,9,19]		103263.659		NaN				89800.240
[0,1,4,10,11]		90536.647		NaN				89800.240
[0,1,4,10,12]		96459.791		NaN				89800.240
[0,1,4,10,13]		95993.496		NaN				89800.240
[0,1,4,10,14]		107218.347		NaN				89800.240
[0,1,4,10,15]		104839.830		NaN				89800.240
[0,1,4,10,16]		97665.062		NaN				89800.240
[0,1,4,10,17]		92354.772		NaN				89800.240
[0,1,4,10,18]		94758.896		NaN				89800.240
[0,1,4,10,19]		102471.106		NaN				89800.240
[0,1,4,11,12]		94934.776		NaN				89800.240
[0,1,4,11,13]		98297.156		NaN				89800.240
[0,1,4,11,14]		98124.205		NaN				89800.240
[0,1,4,11,15]		97211.738		NaN				89800.240
[0,1,4,11,16]		93494.569		NaN				89800.240
[0,1,4,11,17]		96400.861		NaN				89800.240
[0,1,4,11,18]		93918.987		NaN				89800.240
[0,1,4,12,13]		99831.372		NaN				89800.240
[0,1,4,12,14]		106131.578		NaN				89800.240
[0,1,4,12,15]		103468.005		NaN				89800.240
[0,1,4,12,16]		100029.244		NaN				89800.240
[0,1,4,12,17]		95137.478		NaN				89800.240
[0,1,4,12,18]		104512.855		NaN				89800.240
[0,1,4,12,19]		91961.220		NaN				89800.240
[0,1,4,13,14]		107400.955		NaN				89800.240
[0,1,4,13,15]		106109.389		NaN				89800.240
[0,1,4,13,16]		97917.723		NaN				89800.240
[0,1,4,13,17]		102353.598		NaN				89800.240
[0,1,4,13,18]		98361.300		NaN				89800.240
[0,1,4,13,19]		92302.229		NaN				89800.240
[0,1,4,14,15]		122363.785		NaN				89800.240
[0,1,4,14,16]		103729.827		NaN				89800.240
[0,1,4,14,17]		102386.932		NaN				89800.240
[0,1,4,14,18]		103519.346		NaN				89800.240
[0,1,4,14,19]		103199.251		NaN				89800.240
[0,1,4,15,16]		101492.549		NaN				89800.240
[0,1,4,15,17]		101876.497		NaN				89800.240
[0,1,4,15,18]		101414.785		NaN				89800.240
[0,1,4,15,19]		101660.572		NaN				89800.240
[0,1,4,16,17]		93753.663		NaN				89800.240
[0,1,4,16,18]		99064.711		NaN				89800.240
[0,1,4,16,19]		93270.852		NaN				89800.240
[0,1,4,17,18]		93730.292		NaN				89800.240
[0,1,4,18,19]		90375.277		NaN				89800.240
[0,1,5,6,7]		92385.615		NaN				89800.240
[0,1,5,6,8]		107263.992		NaN				89800.240
[0,1,5,6,9]		106282.487		NaN				89800.240
[0,1,5,6,10]		105644.557		NaN				89800.240
[0,1,5,6,11]		91572.537		NaN				89800.240
[0,1,5,6,12]		96662.264		NaN				89800.240
[0,1,5,6,13]		96187.217		NaN				89800.240
[0,1,5,6,14]		108201.978		NaN				89800.240
[0,1,5,6,15]		107896.763		NaN				89800.240
[0,1,5,6,16]		97856.542		NaN				89800.240
[0,1,5,6,17]		92385.615		NaN				89800.240
[0,1,5,6,18]		95030.895		NaN				89800.240
[0,1,5,6,19]		105722.797		NaN				89800.240
[0,1,5,7,8]		90585.367		NaN				89800.240
[0,1,5,7,9]		89826.290		NaN				89800.240
[0,1,5,7,13]		91806.490		NaN				89800.240
[0,1,5,7,14]		91591.666		NaN				89800.240
[0,1,5,7,15]		91867.592		NaN				89800.240
[0,1,5,7,17]		93067.437		NaN				89800.240
[0,1,5,8,9]		106939.299		NaN				89800.240
[0,1,5,8,10]		105203.545		NaN				89800.240
[0,1,5,8,11]		89931.456		NaN				89800.240
[0,1,5,8,12]		95266.372		NaN				89800.240
[0,1,5,8,13]		94471.073		NaN				89800.240
[0,1,5,8,14]		105980.182		NaN				89800.240
[0,1,5,8,15]		106288.397		NaN				89800.240
[0,1,5,8,16]		96640.693		NaN				89800.240
[0,1,5,8,17]		90585.367		NaN				89800.240
[0,1,5,8,18]		93610.671		NaN				89800.240
[0,1,5,8,19]		105763.014		NaN				89800.240
[0,1,5,9,10]		104724.905		NaN				89800.240
[0,1,5,9,12]		94446.127		NaN				89800.240
[0,1,5,9,13]		93535.082		NaN				89800.240
[0,1,5,9,14]		105120.583		NaN				89800.240
[0,1,5,9,15]		105366.528		NaN				89800.240
[0,1,5,9,16]		95928.373		NaN				89800.240
[0,1,5,9,17]		89826.290		NaN				89800.240
[0,1,5,9,18]		92658.080		NaN				89800.240
