Hubs		Lower bound		Best objective function
[0,1,3,12,14]		93553.86188855156		90432.41685369214
[0,1,3,12,15]		93642.36355772153		90432.41685369214
[0,1,3,12,16]		91971.17295306925		90432.41685369214
[0,1,3,12,17]		90447.28758705899		90432.41685369214
[0,1,3,12,18]		93986.77877674371		90432.41685369214
[0,1,3,12,19]		86198.9265965594		90432.41685369214
[0,1,3,13,14]		96170.54722355209		90432.41685369214
[0,1,3,13,15]		96037.6435030764		90432.41685369214
[0,1,3,13,16]		92002.81308809647		90432.41685369214
[0,1,3,13,17]		94920.47277200724		90432.41685369214
[0,1,3,13,18]		91458.95234072136		90432.41685369214
[0,1,3,13,19]		88071.37355219712		90432.41685369214
[0,1,3,14,15]		98114.41068421767		90432.41685369214
[0,1,3,14,16]		93783.21015772161		90432.41685369214
[0,1,3,14,17]		94630.43620602768		90432.41685369214
[0,1,3,14,18]		92440.21955126832		90432.41685369214
[0,1,3,14,19]		90009.86521999375		90432.41685369214
[0,1,3,15,16]		93894.991791319		90432.41685369214
[0,1,3,15,17]		94514.57074847624		90432.41685369214
[0,1,3,15,18]		92673.97228885788		90432.41685369214
[0,1,3,15,19]		90432.53469492216		90432.41685369214
[0,1,3,16,17]		90188.793237597		90432.41685369214
[0,1,3,16,18]		91066.3897722286		90432.41685369214
[0,1,3,16,19]		87872.3620605095		90432.41685369214
[0,1,3,17,18]		89543.01685480948		90432.41685369214
[0,1,3,17,19]		86755.11775358222		90432.41685369214
[0,1,3,18,19]		85155.97493847506		89800.23993895804
[0,1,4,5,6]		104739.58997842108		89800.23993895804
[0,1,4,5,7]		91294.0727268827		89800.23993895804
[0,1,4,5,8]		102936.17271190215		89800.23993895804
[0,1,4,5,9]		102131.62758427006		89800.23993895804
[0,1,4,5,10]		101294.4176797743		89800.23993895804
[0,1,4,5,11]		89733.79081161472		89800.23993895804
[0,1,4,5,12]		93087.47870011492		89800.23993895804
[0,1,4,5,13]		94448.96421316592		89800.23993895804
[0,1,4,5,14]		104229.3139188487		89800.23993895804
[0,1,4,5,15]		103529.93293357588		89800.23993895804
[0,1,4,5,16]		93901.0668996101		89800.23993895804
[0,1,4,5,17]		91294.0727268827		89800.23993895804
[0,1,4,5,18]		91621.18962382109		89800.23993895804
[0,1,4,5,19]		101600.4712041314		89800.23993895804
[0,1,4,6,7]		102944.5765581116		89800.23993895804
[0,1,4,6,8]		115611.57633134251		89800.23993895804
[0,1,4,6,9]		110038.42685758843		89800.23993895804
[0,1,4,6,10]		107645.26242679065		89800.23993895804
[0,1,4,6,11]		98346.86732136365		89800.23993895804
[0,1,4,6,12]		106389.94702502669		89800.23993895804
[0,1,4,6,13]		107567.14142231135		89800.23993895804
[0,1,4,6,14]		127258.67720007908		89800.23993895804
[0,1,4,6,15]		122790.96364136485		89800.23993895804
